16801|Ported to loc team.
16802|I verified the fix running a build in Windows and Linux 64.
16803|> What advantage of having a buffer between working files and the folder explorer?  I see two advantages. It reduces clutter and thus cognitive load. It improves muscle memory: if I know file X isn't open but is roughly Y pixels down the list, I can open it faster. With the buffer, its location doesn't change (often). Sure, I could use `Ctrl+P` but I might also know my current ignore settings won't find it, or there are many similarly named files so I'll have to filter through stuff. If we had tabs, this wouldn't be an issue for me: there'd be less clutter and my project files wouldn't be constantly moving on me.
16804|Awesome, I am on it! :)
16805|Guys please implement this feature this is the only reason why I'm not even consider using VS Code on a regular basis. My laptop shuts down unexpectedly at times so if I'm using Sublime I will be having no issues
16806|Yes, mouse-less interface is good. But some functions are used rare. And it is better to have them in menu and do not guess how it is called in Command Palette.
16807|"@bpasero You're right. This is good enough for most cases (didn't know about that).  But can I place a hotkey on ""Find in Folder""? And could I press this hotkey when the element is focused/selected, so I don't need to open the context menu?  Can I open the context menu for multiple tree elements, so I can search in multiple folders? (I don't if I could do that with `tree.getFocus()`, because it returns `any`. Is this always a single element or can it be multiple elements?)"
16808|@pflannery Okay, thanks. Good luck to you and thank you for the pull request so far :)
16809|"The issue in this case is that the Go plugin defines these snippets, and knows that they are never useful for comments. If they can't be disabled completely, can the plugin specify whether the snippet should be excluded in some contexts like in a comment?  There's similar issues when writing: ""package main"" - the ""main"" autocomplete is shown and ends up changing the code to  ``` go package func main() { } ```  Or when writing `func main` and typing enter, it becomes  ``` go func func main() { } ```  Both of which are very annoying (e.g. see https://github.com/Microsoft/vscode-go/issues/225).  It seems like snippets should be able to (optionally) specify a context for where they should be shown."
16810|Those things you mention are currently not possible but some of them captured in other issues. #4557 for example.
16811|Sure, but isn't what it's accomplishing done by GitHub account/email linking? You need to link your email to an account and need credentials to the account to push.
16812|+1
16813|GPG can be used in any git environment (for instance: GitLab, BitBucket, etc.)  I though this could be actual after seeing the [blog post of GitHub about verifying commits](https://github.com/blog/2144-gpg-signature-verification).
16814|// CC @weinand
16815|"Whew, have spent several hours on finding minimal reproducible sample. Here is the root of all evil: 1. `typings install lodash --ambient` 2. create tsconfig.json with explicit including array of included files: `{   ""compilerOptions"": {     ""target"": ""es3"",     ""sourceMap"": true   },   ""files"": [     ""typings/browser.d.ts""   ] } ` 3. Create first *.ts file, after typint `_.` autocomplete options for lodash appeared. 4. Create one more *.ts file, after typing `_.` no autocomplete for lodash functions appeared.  Removing ""files"" from tsconfig fix the problem (but in our project there is bunch of included files from different places, so this is not an option for me)."
16816|Hi **@Lambdac0re**, I'm your friendly neighborhood Microsoft Pull Request Bot (You can call me MSBOT). Thanks for your contribution!     <span>         This seems like a small (but important) contribution, so no Contribution License Agreement is required at this point. Real humans will now evaluate your PR.     </span>  TTYL, MSBOT;
16817|Also repros on 0.10.14-insiders
16818|Also repros on 0.10.14-insiders
16819|So I'm confused; The ability to disable intellisense in comments - was that fixed, or not? I've tried out the insider build and don't see the functionality implemented.
16820|I believe I had search viewlet in mind...
