1801|I know [Powershell is keen on putting UTF BOMs in everything](http://stackoverflow.com/questions/5596982/using-powershell-to-write-a-file-in-utf-8-without-the-bom).
1802|Yeah, the written file is Unicode. The storage.json needs to be an ANSI encoded file?
1803|"I fixed most of the issues: If there is an error in your promise, the picker will hide and you have a chance to handle the error from the returned promise from the pick() call.  @jrieken is our proxy from main to PH not handling errors? I have the following extension that shows a pick with error but in the console I still get an error about unhandled promise:  ``` typescript export function activate(context: vscode.ExtensionContext) {      var disposable = vscode.commands.registerCommand('extension.sayHello', () => {         vscode.window.showQuickPick(new Promise((c, e) => {             setTimeout(() => {                 e(new Error(""does not work""));             }, 2000);         })).then(null, (e) => {             vscode.window.showErrorMessage(e.toString());         });     });      context.subscriptions.push(disposable); } ```  ![image](https://cloud.githubusercontent.com/assets/900690/11418595/91155dd2-9421-11e5-9ae7-d5295da015a2.png)"
1804|async / await is ES7 not ES6 feature. But I agree we need Intelisence on them,
1805|@Tyriar **outside `<?php` tags** means what? Are they availabe when outside `<?php ?>` tags in PHP files?
1806|Thanks for the quick fix!
1807|Duplicate https://github.com/Microsoft/vscode/issues/239
1808|Outside `<?php ?>` is HTML, inside is PHP. So the HTML auto complete should only be available outside the `<?php ?>` tags.
1809|:heavy_check_mark:
1810|Yes, that is intentional. Because multiple providers can contribute to a result, like multiple document symbol provider, failure of one shouldn't let all fail. That also applies to the case of just 1 provider...
1811|[A JSON document must be Unicode encoded always. But it does not support BOM.](http://tools.ietf.org/html/rfc4627#section-3)
1812|@Tyriar But now they are not available outside the `<?php ?>` tags in `.php` files, maybe they are only available in `.html` files.
1813|@bpasero I don't see `setInterval` in your code.  @alexandrudima I think this is a duplicate of the editor change event firing to often
1814|"By the way I just updated to version 0.10.2 but the issue remains. But from now on I will most likely rely on that version, if no other instructions are given.  @bpasero I'll try the build and run from source at the weekend. (If needed) The Reload Window option is also slow, cpu consuming and causes the ""does not respond"" error message. Here's the Profile dump: **EDIT**: Removed because it may contained user data  And some picture:  ![vscode4](https://cloud.githubusercontent.com/assets/7961978/11419137/aec7c230-9425-11e5-97b1-8f441068d6b7.PNG)"
