23001|[Question][Extension Authoring] Contribute command to specific filetype
23002|Debugging a language service when
23003|restart button on debugging toolbar should restart the file that originally started it, not the active window from the editor
23004|Insider build shows the old ReadMe.md when installing from a vsix
23005|"Error installing mssql extenstion to Code: ""mssql: Unable to execute the command while the extension is initializing. Please try again later."""
23006|Keybindings frozen when edit any shortcut on 1.11.0 - insider
23007|"PHP ""array"" wrong scope"
23008|Double-click on list items should provide consistent editor pinning
23009|NPE in terminal if I start a task without having the terminal visible
23010|"Treat file-reload as an undoable ""edit""."
23011|[scss] parse problem with parent selector
23012|WrappedLine information in API
23013|Packages info intellisense not shown when { ctrl + space }
23014|Configuration service doesn't report parseErrors anymore
23015|Key bindings for command+# to select the nth tab
23016|Feature #22768
23017|Debugging Node.js application
23018|Press any key to close message gets written before process output is finished for background terminals
23019|Explorer not updating contents of folders when files are added, e.g. CSS generated by gulp
23020|can't connect to my profile
23021|Version mismatch! global tsc (2.1.5) != VS Code's language service (2.2.1)
23022|Support gherkin syntax highlighting in markdown
23023|files.autoSave: onFocusChange stops working after having vscode up for a while
23024|mssql extension cannot be activated on Ubuntu LTS 16.04 (32)
23025|Remove TSC Mismatch Warning
23026|Extension market functionality does not work in code-oss
23027|Code helper constantly using over 100% of CPU
23028|"Show Reload Warning When ""typescript.tsserver.log"" is Changed"
23029|Scrolling with touchpad behaves like pressing up and down arrow keys
23030|[html] Formatting JavaScript placed after div elements inside html file adds 12 extra tabs
23031|tab complete on UNC path strips first backslash
23032|Update Go grammar to atom/language-go@11ad31e7 (2016-12-30)
23033|ctrl+k ctrl +d
23034|从网络服务器打开文件夹，ctrl+p出来的文件会有两种情况，分别是\\192.168.1.2\NAME\mydir\*和\\192.168.1.2\name\mydir\*从而导致打开了两个不一样的文件，会造成不同步
23035|从网络服务器打开新文件，有可能导致部分覆盖在已打开文件上
23036|Crash when typing into TypeScript file
23037|code formatting not working correctly sometimes or in some files.
23038|Wrong type of comments for React JSX property
23039|interface scaling problem
23040|add feature :select all of the regular matches and edit them all
23041|Error: Failed to execute git
23042|[Feature Request] Allow changing git user credentials in UI
23043|Remote editing by SSH?
23044|Having multiple windows open eats up cpu resources.
23045|[JSX] Feature request: Provide HTML tag matching in jsx
23046|replace search feature with git grep
23047|Support toggle the display of sidebar with hotkey
23048|Enable/disable JavaScript validation broken
23049|请支持同一个窗口中打开多个项目文件夹。这功能很重要。
23050|[Terminal] Searching in terminal output does not work
23051|[Terminal] Select all does not work in terminal output
23052|Context menus block the renderer
23053|mark tabs with file changes from last-commit
23054|"Light themes have wrong font color in ""Find All References"""
23055|"""Find all References"" twistie has a colored background"
23056|Debugger crashes after ca 10s
23057|Cannot watch variable on Golang remote debug
23058|Working slow when large file is open
23059|Support command line arguments for portable installations
23060|Brackets are not autocompleted when using it on a method
23061|C Language (Cpptools extension) struct item completion not correct
23062|Markdown preview window reduces in size when UI is zoomed
23063|Ayu light theme find all references broken
23064|Multi-edit changing quotes doesn't quite work
23065|Errors in Interactive Playground
23066|Add dropdown for search input history
23067|"I can not launch an integrated terminal - Bash, CMD all ""failed to launch exit code(1)"""
23068|parameters are not aligned in function with many parameters
23069|shellLaunchConfig.initialText not honored when terminal is reused
23070|Phpunit failing runnin unit test on terminal. but native terminal works
23071|"Coffeescript: problem with slash ""/"""
23072|Original extension command names next to the translated ones
23073|Expose diff editors in the API
23074|Allow to configure editor auto reload behaviour
23075|Debug controls cover editor tabs!
23076|[Feature Request] Drawing pad integrated to github?
23077|Stuck at downloading
23078|Broken syntax highlighting in JavaScript template strings with 'Light' or 'Dark' themes
23079|Regex or normal find support on DEBUG console and OUTPUT window
23080|Provide command line switch that specifies a path to custom settings.json file
23081|Windows-specific: OS shortcuts to launch new instance not working
23082|Improve coloring of js template strings
23083|"Incorrect translation in menu ""Ir"" (Go i guess)"
23084|Provide a way to control debugger stop focus changes
23085|Language-specific Workspace settings leaking into User settings
23086|Terminal doesn't send onExit event if terminal is not visible
23087|Disable Implementations Code lens For TS < 2.2.1
23088|Mitigate #22900. Use setInterval instead of animation for flat blinking on mac/linux
23089|Extensions: Query UI State
23090|Pick up updated coffeescript grammar
23091|Update doc topic links in comments
23092|Filetype associations don't affect explorer icons
23093|C++ and other MS plugins are non free
23094|Unable to compile C++ code
23095|Test: Custom workspace terminal shells
23096|Test: Terminal link improvements
23097|Test: Terminal Shell Selection on Windows
23098|Send machineId in crash reports
23099|Allow to detect encoding from contents in the file
23100|.vue html代码注释有错
